#number of letters; needed width
8;	17
13;	23
18;	30
17;	29
16;	28.5
7;	14
6;	13
5;	11
4;	10
3;	9
14;	26
25;	43
32;	53
37;	61
40;	65
42;	68
49;	77
59;	90
